customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
7590-VHVEG,No,No phone service,DSL,No,Yes,No,No,No,No,0
5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No,0
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,1
7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,0
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,1
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0
6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,0
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,1
6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No,0
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,0
7469-LKBCI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1
5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0
8191-XWSZG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,0
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,1
4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,0
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,1
1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,0
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,0
6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No,0
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1
8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No,1
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,1
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,0
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,0
7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No,0
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,0
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,1
6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No,0
